sep=,
Type,Ticket,Symbol,Lots,Buy/sell,Open price,Close price,Open time,Close time,Open date,Close date,Profit,Swap,Commission,Net profit,T/P,S/L,Pips,Result,Trade duration (hours),Magic number,Order comment,Account
Closed position,988506395,XAUUSD,1,Buy,3578.52,3594.09,2025/09/05 15:32:35,2025/09/08 04:00:00,2025/09/05,2025/09/08,1557,-55.24,-7,1494.76,3707.34,3565.38,155.7,Win,60.46,202501023,,deusfund-sqx2
Closed position,989623710,XAUUSD,0.4,Buy,3596.38,3588.41,2025/09/08 04:02:42,2025/09/08 04:09:31,2025/09/08,2025/09/08,-318.8,0,-2.8,-321.6,3620.01,3588.46,-79.7,Loss,0.11,6,,deusfund-sqx1
Closed position,989594585,USDJPY,1,Buy,148.562,148.178,2025/09/08 03:21:26,2025/09/08 04:55:19,2025/09/08,2025/09/08,-259.15,0,-7,-266.15,151.238,148.179,-38.4,Loss,1.56,202501018,,deusfund-sqx2
Closed position,988506397,XAUUSD,1,Buy,3578.52,3591.14,2025/09/05 15:32:35,2025/09/08 09:00:00,2025/09/05,2025/09/08,1262,-55.24,-7,1199.76,3707.34,3565.38,126.2,Win,65.46,1006,,deusfund-sqx1
Closed position,989511366,USDJPY,1,Buy,148.211,147.81,2025/09/08 01:14:15,2025/09/08 09:52:20,2025/09/08,2025/09/08,-271.29,0,-7,-278.29,150.273,147.813,-40.1,Loss,8.63,202501013,,deusfund-sqx2
Closed position,989580859,GBPJPY,1,Buy,200.195,199.386,2025/09/08 03:00:39,2025/09/08 11:00:25,2025/09/08,2025/09/08,-548.37,0,-7,-555.37,205.591,199.386,-80.9,Loss,8,202501003,,deusfund-sqx2
Closed position,989910004,BTCUSD,0.8,Buy,111432.63,111668,2025/09/08 10:25:11,2025/09/08 12:00:00,2025/09/08,2025/09/08,188.3,0,0,188.3,0,111039.2,235.4,Win,1.58,1001,,deusfund-sqx1
Closed position,989847990,XAUUSD,0.4,Buy,3596.43,3620.36,2025/09/08 09:43:23,2025/09/08 13:14:55,2025/09/08,2025/09/08,957.2,0,-2.8,954.4,3620.01,3588.46,239.3,Win,3.53,6,,deusfund-sqx1
Closed position,988506375,XAUUSD,1,Buy,3578.52,3619.25,2025/09/05 15:32:35,2025/09/08 15:00:00,2025/09/05,2025/09/08,4073,-55.24,-7,4010.76,0,3565.14,407.3,Win,71.46,202501025,,deusfund-sqx2
Closed position,990320502,USTEC,8,Buy,23778.5,23782.5,2025/09/08 16:30:16,2025/09/08 19:31:51,2025/09/08,2025/09/08,32,0,0,32,0,23658.71,4.0,Win,3.03,202501007,,deusfund-sqx2
Closed position,990700916,USTEC,8,Buy,23782.1,23763.2,2025/09/08 21:22:57,2025/09/08 22:45:00,2025/09/08,2025/09/08,-151.2,0,0,-151.2,0,21403.54,-18.9,Loss,1.37,9,,deusfund-sqx1
Closed position,989594586,USDJPY,1,Buy,148.562,147.072,2025/09/08 03:21:26,2025/09/09 08:04:46,2025/09/08,2025/09/09,-1013.11,6.32,-7,-1013.79,151.09,147.078,-149.0,Loss,28.72,202501014,,deusfund-sqx2
Closed position,988506307,XAUUSD,1,Buy,3578.52,3655.48,2025/09/05 15:32:35,2025/09/09 09:00:00,2025/09/05,2025/09/09,7696,-110.95,-7,7578.05,3900.58,3563.1,769.6,Win,89.46,202501027,,deusfund-sqx2
Closed position,991166080,BTCUSD,0.8,Buy,112957.63,113036,2025/09/09 09:46:31,2025/09/09 10:00:00,2025/09/09,2025/09/09,62.7,0,0,62.7,0,112503.77,78.4,Win,0.22,1001,,deusfund-sqx1
Closed position,981501465,USDJPY,1,Buy,147.322,146.587,2025/09/01 04:20:01,2025/09/09 11:32:06,2025/09/01,2025/09/09,-501.41,49.73,-7,-458.68,149.679,146.585,-73.5,Loss,199.2,202501015,,deusfund-sqx2
Closed position,990920776,XAUUSD,1,Buy,3646.76,3651.92,2025/09/09 04:35:59,2025/09/09 14:00:00,2025/09/09,2025/09/09,516,0,-7,509,0,3633.11,51.6,Win,9.4,202501025,,deusfund-sqx2
Closed position,990866419,XAUUSD,0.4,Buy,3640.91,3664.36,2025/09/09 03:23:34,2025/09/09 16:35:08,2025/09/09,2025/09/09,938,0,-2.8,935.2,3664.24,3632.69,234.5,Win,13.19,6,,deusfund-sqx1
